Cue	NORMAL Breathing
15078527	3.549
15078530	3.550
15078533	3.550
15078536	3.550
15078539	3.551
15078542	3.551
15078545	3.551
15078547	3.551
15078550	3.551
15078553	3.551
15078556	3.551
15078559	3.551
15078562	3.551
15078565	3.551
15078568	3.551
15078570	3.551
15078573	3.552
15078576	3.552
15078579	3.552
15078582	3.553
15078585	3.553
15078588	3.553
15078591	3.554
15078594	3.554
15078596	3.554
15078599	3.554
15078602	3.554
15078605	3.554
15078608	3.554
15078611	3.554
15078614	3.553
15078617	3.553
15078619	3.553
15078622	3.552
15078625	3.552
15078628	3.550
15078631	3.550
15078634	3.549
15078637	3.548
15078640	3.547
15078642	3.545
15078645	3.544
15078648	3.543
15078651	3.542
15078654	3.541
15078657	3.541
15078660	3.540
15078663	3.539
15078666	3.538
15078668	3.538
15078671	3.538
15078674	3.539
15078677	3.539
15078680	3.540
15078683	3.541
15078686	3.542
15078689	3.543
15078691	3.544
15078694	3.545
15078697	3.547
15078700	3.548
15078703	3.550
15078706	3.551
15078709	3.552
15078712	3.552
15078714	3.553
15078717	3.554
15078720	3.554
15078723	3.555
15078726	3.556
15078729	3.556
15078732	3.556
15078735	3.556
15078738	3.557
15078740	3.558
15078743	3.558
15078746	3.558
15078749	3.558
15078752	3.559
15078755	3.559
15078758	3.560
15078761	3.560
15078763	3.560
15078766	3.560
15078769	3.560
15078772	3.560
15078775	3.560
15078778	3.561
15078781	3.561
15078784	3.560
15078786	3.560
15078789	3.560
15078792	3.559
15078795	3.559
15078798	3.559
15078801	3.559
15078804	3.558
15078807	3.557
15078810	3.556
15078812	3.556
15078815	3.555
15078818	3.554
15078821	3.554
15078824	3.552
15078827	3.552
15078830	3.551
15078833	3.550
15078835	3.550
15078838	3.550
15078841	3.549
15078844	3.550
15078847	3.550
15078850	3.550
15078853	3.551
15078856	3.551
15078858	3.551
15078861	3.552
15078864	3.552
15078867	3.552
15078870	3.552
15078873	3.553
15078876	3.553
15078879	3.553
15078881	3.553
15078884	3.554
15078887	3.555
15078890	3.555
15078893	3.556
15078896	3.556
15078899	3.556
15078902	3.556
15078905	3.556
15078907	3.557
15078910	3.558
15078913	3.558
15078916	3.558
15078919	3.558
15078922	3.559
15078925	3.559
15078928	3.560
15078930	3.560
15078933	3.561
15078936	3.561
15078939	3.561
15078942	3.561
15078945	3.561
15078948	3.561
15078951	3.560
15078954	3.560
15078956	3.560
15078959	3.559
15078962	3.559
15078965	3.559
15078968	3.558
15078971	3.559
15078974	3.559
15078977	3.559
15078979	3.559
15078982	3.559
15078985	3.560
15078988	3.560
15078991	3.561
15078994	3.561
15078997	3.561
15079000	3.561
15079002	3.561
15079005	3.561
15079008	3.560
15079011	3.560
15079014	3.559
15079017	3.558
15079020	3.557
15079023	3.555
15079026	3.554
15079028	3.551
15079031	3.549
15079034	3.547
15079037	3.544
15079040	3.541
15079043	3.538
15079046	3.534
15079049	3.531
15079051	3.529
15079054	3.527
15079057	3.526
15079060	3.524
15079063	3.524
15079066	3.524
15079069	3.524
15079072	3.525
15079074	3.526
15079077	3.528
15079080	3.529
15079083	3.530
15079086	3.531
15079089	3.532
15079092	3.533
15079095	3.533
15079098	3.534
15079100	3.535
15079103	3.536
15079106	3.537
15079109	3.539
15079112	3.540
15079115	3.541
15079118	3.542
15079120	3.544
15079123	3.546
15079126	3.548
15079129	3.549
15079132	3.550
15079135	3.551
15079138	3.552
15079141	3.553
15079144	3.555
15079146	3.555
15079149	3.556
15079152	3.556
15079155	3.557
15079158	3.557
15079161	3.558
15079164	3.558
15079167	3.558
15079170	3.558
15079172	3.558
15079175	3.558
15079178	3.559
15079181	3.559
15079184	3.559
15079187	3.558
15079190	3.558
15079193	3.557
15079195	3.556
15079198	3.554
15079201	3.552
15079204	3.549
15079207	3.546
15079210	3.543
15079213	3.540
15079216	3.536
15079218	3.533
15079221	3.529
15079224	3.526
15079227	3.524
15079230	3.522
15079233	3.521
15079236	3.520
15079239	3.520
15079242	3.520
15079244	3.520
15079247	3.522
15079250	3.523
15079253	3.524
15079256	3.525
15079259	3.526
15079262	3.527
15079265	3.528
15079267	3.529
15079270	3.530
15079273	3.530
15079276	3.531
15079279	3.532
15079282	3.533
15079285	3.534
15079288	3.535
15079290	3.536
15079293	3.538
15079296	3.539
15079299	3.540
15079302	3.541
15079305	3.542
15079308	3.543
15079311	3.544
15079314	3.545
15079316	3.547
15079319	3.547
