Cue	NORMAL Breathing
15078037	3.711
15078040	3.710
15078043	3.708
15078046	3.707
15078049	3.704
15078052	3.703
15078054	3.701
15078057	3.699
15078060	3.697
15078063	3.695
15078066	3.694
15078069	3.693
15078072	3.693
15078075	3.693
15078078	3.693
15078080	3.694
15078083	3.694
15078086	3.696
15078089	3.697
15078092	3.698
15078095	3.700
15078098	3.701
15078101	3.702
15078103	3.703
15078106	3.704
15078109	3.706
15078112	3.706
15078115	3.707
15078118	3.708
15078121	3.709
15078124	3.709
15078126	3.710
15078129	3.710
15078132	3.711
15078135	3.711
15078138	3.711
15078141	3.712
15078144	3.712
15078147	3.713
15078150	3.713
15078152	3.714
15078155	3.715
15078158	3.715
15078161	3.716
15078164	3.717
15078167	3.717
15078170	3.718
15078173	3.719
15078175	3.719
15078178	3.720
15078181	3.720
15078184	3.720
15078187	3.721
15078190	3.721
15078193	3.721
15078196	3.721
15078198	3.721
15078201	3.721
15078204	3.721
15078207	3.721
15078210	3.721
15078213	3.721
15078216	3.720
15078219	3.720
15078222	3.719
15078224	3.719
15078227	3.719
15078230	3.718
15078233	3.718
15078236	3.717
15078239	3.717
15078242	3.716
15078245	3.715
15078247	3.715
15078250	3.714
15078253	3.714
15078256	3.714
15078259	3.713
15078262	3.713
15078265	3.714
15078268	3.714
15078270	3.714
15078273	3.714
15078276	3.715
15078279	3.715
15078282	3.716
15078285	3.716
15078288	3.717
15078291	3.717
15078294	3.718
15078296	3.719
15078299	3.719
15078302	3.720
15078305	3.720
15078308	3.721
15078311	3.721
15078314	3.722
15078317	3.722
15078319	3.722
15078322	3.723
15078325	3.723
15078328	3.723
15078331	3.723
15078334	3.723
15078337	3.724
15078340	3.724
15078342	3.724
15078345	3.724
15078348	3.725
15078351	3.724
15078354	3.725
15078357	3.725
15078360	3.725
15078363	3.725
15078366	3.725
15078368	3.725
15078371	3.725
15078374	3.726
15078377	3.726
15078380	3.726
15078383	3.727
15078386	3.726
15078389	3.727
15078391	3.727
15078394	3.727
15078397	3.727
15078400	3.727
15078403	3.727
15078406	3.728
15078409	3.727
15078412	3.728
15078414	3.728
15078417	3.727
15078420	3.727
15078423	3.726
15078426	3.726
15078429	3.725
15078432	3.724
15078435	3.722
15078438	3.721
15078440	3.720
15078443	3.719
15078446	3.718
15078449	3.716
15078452	3.715
15078455	3.714
15078458	3.714
15078461	3.713
15078463	3.713
15078466	3.712
15078469	3.712
15078472	3.713
15078475	3.713
15078478	3.713
15078481	3.714
15078484	3.715
15078486	3.715
15078489	3.716
15078492	3.717
15078495	3.718
15078498	3.718
15078501	3.718
